time_stamp,avg_hr
Tue Nov 08 2022 12:59:00 GMT+0100 (Central European Standard Time),84
Tue Nov 08 2022 13:59:00 GMT+0100 (Central European Standard Time),70
Tue Nov 08 2022 14:59:00 GMT+0100 (Central European Standard Time),69
Tue Nov 08 2022 15:59:00 GMT+0100 (Central European Standard Time),64
Tue Nov 08 2022 16:57:00 GMT+0100 (Central European Standard Time),66
Tue Nov 08 2022 17:59:00 GMT+0100 (Central European Standard Time),70
Tue Nov 08 2022 18:59:00 GMT+0100 (Central European Standard Time),74
Tue Nov 08 2022 19:59:00 GMT+0100 (Central European Standard Time),86
Tue Nov 08 2022 20:59:00 GMT+0100 (Central European Standard Time),76
Tue Nov 08 2022 21:59:00 GMT+0100 (Central European Standard Time),71
Tue Nov 08 2022 22:59:00 GMT+0100 (Central European Standard Time),76
Tue Nov 08 2022 23:59:59 GMT+0100 (Central European Standard Time),71
Wed Nov 09 2022 00:59:00 GMT+0100 (Central European Standard Time),64
Wed Nov 09 2022 01:57:00 GMT+0100 (Central European Standard Time),64
Wed Nov 09 2022 02:58:00 GMT+0100 (Central European Standard Time),61
Wed Nov 09 2022 03:59:00 GMT+0100 (Central European Standard Time),62
Wed Nov 09 2022 04:59:00 GMT+0100 (Central European Standard Time),61
Wed Nov 09 2022 05:59:00 GMT+0100 (Central European Standard Time),62
Wed Nov 09 2022 06:59:00 GMT+0100 (Central European Standard Time),64
Wed Nov 09 2022 07:58:00 GMT+0100 (Central European Standard Time),71
Wed Nov 09 2022 08:59:00 GMT+0100 (Central European Standard Time),69
Wed Nov 09 2022 09:59:00 GMT+0100 (Central European Standard Time),73
Wed Nov 09 2022 10:59:00 GMT+0100 (Central European Standard Time),69
Wed Nov 09 2022 11:59:00 GMT+0100 (Central European Standard Time),67
Wed Nov 09 2022 12:59:00 GMT+0100 (Central European Standard Time),64
Wed Nov 09 2022 13:59:00 GMT+0100 (Central European Standard Time),70
Wed Nov 09 2022 14:59:00 GMT+0100 (Central European Standard Time),69
Wed Nov 09 2022 15:59:00 GMT+0100 (Central European Standard Time),70
Wed Nov 09 2022 16:59:00 GMT+0100 (Central European Standard Time),68
Wed Nov 09 2022 17:58:00 GMT+0100 (Central European Standard Time),111
Wed Nov 09 2022 18:58:00 GMT+0100 (Central European Standard Time),91
Wed Nov 09 2022 19:59:00 GMT+0100 (Central European Standard Time),75
Wed Nov 09 2022 20:58:00 GMT+0100 (Central European Standard Time),71
Wed Nov 09 2022 21:58:00 GMT+0100 (Central European Standard Time),74
Wed Nov 09 2022 22:59:00 GMT+0100 (Central European Standard Time),70
Wed Nov 09 2022 23:59:00 GMT+0100 (Central European Standard Time),67
Thu Nov 10 2022 00:59:00 GMT+0100 (Central European Standard Time),66
Thu Nov 10 2022 01:59:00 GMT+0100 (Central European Standard Time),64
Thu Nov 10 2022 02:59:00 GMT+0100 (Central European Standard Time),63
Thu Nov 10 2022 03:59:00 GMT+0100 (Central European Standard Time),63
Thu Nov 10 2022 04:59:00 GMT+0100 (Central European Standard Time),65
Thu Nov 10 2022 05:59:00 GMT+0100 (Central European Standard Time),64
Thu Nov 10 2022 06:53:00 GMT+0100 (Central European Standard Time),62
Thu Nov 10 2022 07:59:00 GMT+0100 (Central European Standard Time),70
Thu Nov 10 2022 08:58:00 GMT+0100 (Central European Standard Time),77
Thu Nov 10 2022 09:59:00 GMT+0100 (Central European Standard Time),84
Thu Nov 10 2022 10:59:00 GMT+0100 (Central European Standard Time),68
Thu Nov 10 2022 11:59:00 GMT+0100 (Central European Standard Time),77
Thu Nov 10 2022 12:59:00 GMT+0100 (Central European Standard Time),77
Thu Nov 10 2022 13:59:00 GMT+0100 (Central European Standard Time),74
Thu Nov 10 2022 14:59:00 GMT+0100 (Central European Standard Time),66
Thu Nov 10 2022 15:59:00 GMT+0100 (Central European Standard Time),67
Thu Nov 10 2022 16:59:00 GMT+0100 (Central European Standard Time),73
Thu Nov 10 2022 17:59:00 GMT+0100 (Central European Standard Time),91
Thu Nov 10 2022 18:59:00 GMT+0100 (Central European Standard Time),86
Thu Nov 10 2022 19:59:00 GMT+0100 (Central European Standard Time),77
Thu Nov 10 2022 20:59:00 GMT+0100 (Central European Standard Time),77
Thu Nov 10 2022 21:59:00 GMT+0100 (Central European Standard Time),96
