time_stamp,avg_hr
Sun Nov 12 2023 11:59:00 GMT+0100 (Central European Standard Time),84
Sun Nov 12 2023 12:59:00 GMT+0100 (Central European Standard Time),89
Sun Nov 12 2023 13:59:00 GMT+0100 (Central European Standard Time),82
Sun Nov 12 2023 14:59:00 GMT+0100 (Central European Standard Time),77
Sun Nov 12 2023 15:59:00 GMT+0100 (Central European Standard Time),77
Sun Nov 12 2023 16:59:00 GMT+0100 (Central European Standard Time),78
Sun Nov 12 2023 17:59:00 GMT+0100 (Central European Standard Time),82
Sun Nov 12 2023 18:59:00 GMT+0100 (Central European Standard Time),76
Sun Nov 12 2023 19:59:00 GMT+0100 (Central European Standard Time),81
Sun Nov 12 2023 20:56:00 GMT+0100 (Central European Standard Time),70
Sun Nov 12 2023 21:59:00 GMT+0100 (Central European Standard Time),71
Sun Nov 12 2023 22:59:00 GMT+0100 (Central European Standard Time),65
Sun Nov 12 2023 23:59:59 GMT+0100 (Central European Standard Time),64
Mon Nov 13 2023 00:57:00 GMT+0100 (Central European Standard Time),63
Mon Nov 13 2023 01:59:00 GMT+0100 (Central European Standard Time),62
Mon Nov 13 2023 02:55:00 GMT+0100 (Central European Standard Time),62
Mon Nov 13 2023 03:59:00 GMT+0100 (Central European Standard Time),63
Mon Nov 13 2023 04:58:00 GMT+0100 (Central European Standard Time),63
Mon Nov 13 2023 05:59:00 GMT+0100 (Central European Standard Time),66
Mon Nov 13 2023 06:59:00 GMT+0100 (Central European Standard Time),67
Mon Nov 13 2023 07:59:00 GMT+0100 (Central European Standard Time),59
Mon Nov 13 2023 08:59:00 GMT+0100 (Central European Standard Time),65
Mon Nov 13 2023 09:59:00 GMT+0100 (Central European Standard Time),67
Mon Nov 13 2023 10:59:00 GMT+0100 (Central European Standard Time),76
Mon Nov 13 2023 11:59:00 GMT+0100 (Central European Standard Time),75
Mon Nov 13 2023 12:59:00 GMT+0100 (Central European Standard Time),72
Mon Nov 13 2023 13:59:00 GMT+0100 (Central European Standard Time),111
Mon Nov 13 2023 14:59:00 GMT+0100 (Central European Standard Time),91
Mon Nov 13 2023 15:59:00 GMT+0100 (Central European Standard Time),96
Mon Nov 13 2023 16:58:00 GMT+0100 (Central European Standard Time),82
Mon Nov 13 2023 17:59:00 GMT+0100 (Central European Standard Time),81
Mon Nov 13 2023 18:58:00 GMT+0100 (Central European Standard Time),76
Mon Nov 13 2023 19:59:00 GMT+0100 (Central European Standard Time),76
Mon Nov 13 2023 20:59:00 GMT+0100 (Central European Standard Time),73
Mon Nov 13 2023 21:59:00 GMT+0100 (Central European Standard Time),73
Mon Nov 13 2023 22:59:00 GMT+0100 (Central European Standard Time),76
Mon Nov 13 2023 23:55:00 GMT+0100 (Central European Standard Time),61
Tue Nov 14 2023 00:58:00 GMT+0100 (Central European Standard Time),63
Tue Nov 14 2023 01:59:00 GMT+0100 (Central European Standard Time),60
Tue Nov 14 2023 02:59:00 GMT+0100 (Central European Standard Time),61
Tue Nov 14 2023 03:57:00 GMT+0100 (Central European Standard Time),63
Tue Nov 14 2023 04:56:00 GMT+0100 (Central European Standard Time),63
Tue Nov 14 2023 05:59:00 GMT+0100 (Central European Standard Time),64
Tue Nov 14 2023 06:52:00 GMT+0100 (Central European Standard Time),61
Tue Nov 14 2023 07:59:00 GMT+0100 (Central European Standard Time),65
Tue Nov 14 2023 08:59:00 GMT+0100 (Central European Standard Time),68
Tue Nov 14 2023 09:59:00 GMT+0100 (Central European Standard Time),80
Tue Nov 14 2023 10:59:00 GMT+0100 (Central European Standard Time),86
Tue Nov 14 2023 11:59:00 GMT+0100 (Central European Standard Time),78
Tue Nov 14 2023 12:59:00 GMT+0100 (Central European Standard Time),82
Tue Nov 14 2023 13:58:00 GMT+0100 (Central European Standard Time),82
Tue Nov 14 2023 14:59:00 GMT+0100 (Central European Standard Time),80
Tue Nov 14 2023 15:59:00 GMT+0100 (Central European Standard Time),87
Tue Nov 14 2023 16:59:00 GMT+0100 (Central European Standard Time),73
Tue Nov 14 2023 17:59:00 GMT+0100 (Central European Standard Time),80
Tue Nov 14 2023 18:59:00 GMT+0100 (Central European Standard Time),105
Tue Nov 14 2023 19:59:00 GMT+0100 (Central European Standard Time),77
Tue Nov 14 2023 20:56:00 GMT+0100 (Central European Standard Time),74
Tue Nov 14 2023 21:59:00 GMT+0100 (Central European Standard Time),77
Tue Nov 14 2023 22:59:00 GMT+0100 (Central European Standard Time),97
Tue Nov 14 2023 23:59:00 GMT+0100 (Central European Standard Time),76
Wed Nov 15 2023 00:59:00 GMT+0100 (Central European Standard Time),64
Wed Nov 15 2023 01:59:00 GMT+0100 (Central European Standard Time),63
Wed Nov 15 2023 02:59:00 GMT+0100 (Central European Standard Time),62
Wed Nov 15 2023 03:58:00 GMT+0100 (Central European Standard Time),60
Wed Nov 15 2023 04:59:00 GMT+0100 (Central European Standard Time),60
Wed Nov 15 2023 05:59:00 GMT+0100 (Central European Standard Time),64
Wed Nov 15 2023 06:59:00 GMT+0100 (Central European Standard Time),84
Wed Nov 15 2023 07:59:00 GMT+0100 (Central European Standard Time),99
Wed Nov 15 2023 08:59:00 GMT+0100 (Central European Standard Time),96
Wed Nov 15 2023 09:59:00 GMT+0100 (Central European Standard Time),77
Wed Nov 15 2023 10:59:00 GMT+0100 (Central European Standard Time),75
Wed Nov 15 2023 11:59:00 GMT+0100 (Central European Standard Time),71
Wed Nov 15 2023 12:59:00 GMT+0100 (Central European Standard Time),78
Wed Nov 15 2023 13:59:00 GMT+0100 (Central European Standard Time),95
Wed Nov 15 2023 14:59:00 GMT+0100 (Central European Standard Time),87
Wed Nov 15 2023 15:59:00 GMT+0100 (Central European Standard Time),82
Wed Nov 15 2023 16:59:00 GMT+0100 (Central European Standard Time),91
Wed Nov 15 2023 17:59:00 GMT+0100 (Central European Standard Time),88
Wed Nov 15 2023 18:59:00 GMT+0100 (Central European Standard Time),84
